Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,90765,180296,Active,Microtus,"Meadow Mice, Meadow Voles",,Undecided,No,In Review,,,,,,,,,,,2,,,,,,
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,long-tailed vole,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,2,4,11,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91701,180310,Active,Microtus montanus,montane vole,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,2,23,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,bushy-tailed woodrat,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,1,1,11,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91772,180375,Active,Neotoma mexicana,mexican woodrat,,Accepted,No,Approved,Probably Present,,Native,,,,,,1,,,,,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,muskrat,,Accepted,No,Approved,Present,,Native,,Uncommon,Exploitation Concern; Breeder,,,1,,3,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,deer mouse,Peromyscus maniculatus rufinus,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,3,5,149,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,260607,552496,Active,Peromyscus nasutus,rock mouse,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,1,,7,,,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91754,180359,Active,Phenacomys intermedius,heather vole,,Accepted,No,Approved,Present,,Native,,Unknown,Breeder,,,1,2,11,,,,,G5,CO: S4
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Dipodidae,91785,180387,Active,Zapus princeps,western jumping mouse,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,3,21,,,,,G5,CO: S5
,ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,porcupine,Erethizon dorsatum epixanthum,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,,8,,,,,G5,CO: S5
