Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,YELL,Yellowstone National Park,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,"Audubon's Cottontail, Desert Cottontail",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,,,,,,G5,MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Lagomorpha,Leporidae,89653,180126,Active,Sylvilagus nuttallii,mountain cottontail,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,,,,ID: Upland Game Animal,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Lagomorpha,Ochotonidae,89634,180109,Active,Ochotona princeps,"American Pika, Cony, Hay-maker, Little Chief Hare, Mouse Hare, Piping Hare, Rock Rabbit, Southern Pika, Whistling Hare",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,5,8,,RT,"ID: Protected Nongame; WY: NSS2(Ba),SOC",,G5,ID: S3; MT: S5; WY: S2
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American Beaver,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,3,3,5,,,ID: Furbearing Animals,,G5,ID: S4; MT: S5; WY: S4
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,90763,180294,Active,Clethrionomys gapperi,Southern Red-backed Vole,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,,11,,,,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,260595,552490,Active,Lemmiscus curtatus,Sagebrush Vole,,Accepted,No,Approved,Unconfirmed,,Unknown,,,,,,1,,,,,WY: NSS4(Cb),,G5,ID: S5; MT: S4; WY: S4
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,"Coronation Island vole, Long-tailed Vole",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,5,,,ID: Protected Nongame,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,91701,180310,Active,Microtus montanus,Montane Vole,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,3,,4,,,,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,90766,180297,Active,Microtus pennsylvanicus,Meadow Vole,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,,1,,,,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,91706,180315,Active,Microtus richardsoni,Richardson water vole,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,,1,,,"MT: PSOC; WY: NSS3(Bb),SOC",,G5,ID: S4; MT: S4; WY: S1
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,Bushy-tailed Woodrat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,,4,,,,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,"Common Muskrat, Muskbeaver, Muskrat",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,14,5,,,ID: Furbearing Animals,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,"Deer Mouse, North American Deermouse",,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,2,,64,,,,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Cricetidae,91754,180359,Active,Phenacomys intermedius,"Heather Vole, Western Heather Vole",,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,2,,,,,,,G5,ID: S5; MT: S4; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Dipodidae,91785,180387,Active,Zapus princeps,Western Jumping Mouse,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,,4,,,WY: SOC,,G5,ID: S4; MT: S5; WY: S3S4
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,"common porcupine, porcupine",,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,2,18,,,,MT: PSOC,,G5,ID: S5; MT: S3S4; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Geomyidae,90690,180228,Active,Thomomys talpoides,Northern Pocket Gopher,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,3,10,,,,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,House Mouse,,Accepted,No,Approved,Present,,Non-native,,Unknown,Breeder,,,,1,,,,,,G5,ID: SNA; MT: SNA; WY: SNA
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,89700,180169,Active,Glaucomys sabrinus,Northern Flying Squirrel,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,2,5,3,,,ID: Protected Nongame; WY: NSS4(Cb),,G5,ID: S4; MT: S4; WY: S3S4
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,89669,180140,Active,Marmota flaviventris,Yellow-bellied Marmot,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,26,3,,,,,G5,ID: S4; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,694920,-756525,Active,Neotamias amoenus,yellow pine chipmunk,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,,,G5,ID: S5; MT: S5; WY: S3S4
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,694924,-756527,Active,Neotamias minimus,Least chipmunk,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,1,,,,,,,G5,ID: S5; MT: S5; WY: S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,694907,-756519,Active,Neotamias umbrinus,Uinta chipmunk,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,1,,,,,,,G5,ID: S4; MT: SU; WY: S4S5
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,89676,180147,Active,Spermophilus armatus,Uinta Ground Squirrel,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,3,,5,,,,,,
,YELL,Yellowstone National Park,Mammal,1,Rodentia,Sciuridae,89684,180154,Active,Spermophilus lateralis,Golden-mantled Ground Squirrel,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,3,,1,,,,,,
